match_date,player_1,player_2,duration,match_round,player_1_scores,player_2_scores,winner,result,match_id,tournament_id,stats_link,player_1_id,player_2_id,p1_set1,p1_set2,p1_set3,p1_set4,p1_set5,p2_set1,p2_set2,p2_set3,p2_set4,p2_set5,best_of,winner_id
17-06-2025,F. Auger-Aliassime,L. Djere,02:05:31,Round of 32,6 6(6) 6,3 7 1,Felix Auger-Aliassime,Completed,ms022,500,https://www.atptour.com//en/scores/stats-centre/archive/2025/500/ms022,ag37,db63,6,6(6),6,,,3,7,1,,,3,ag37
17-06-2025,F. Cobolli,J. Fonseca,02:44:28,Round of 32,5 7 7,7 6(3) 6(8),Flavio Cobolli,Completed,ms029,500,https://www.atptour.com//en/scores/stats-centre/archive/2025/500/ms029,c0e9,f0fv,5,7,7,,,7,6(3),6(8),,,3,c0e9
17-06-2025,T. Martin Etcheverry,P. Martinez,01:31:16,Round of 32,6 6,1 3,Tomas Martin Etcheverry,Completed,ms021,500,https://www.atptour.com//en/scores/stats-centre/archive/2025/500/ms021,,mo44,6,6,,,,1,3,,,,3,ea24
17-06-2025,L. Sonego,J. Struff,01:00:45,Round of 32,6 6,3 2,Lorenzo Sonego,Completed,ms030,500,https://www.atptour.com//en/scores/stats-centre/archive/2025/500/ms030,su87,sl28,6,6,,,,3,2,,,,3,su87
16-06-2025,D. Medvedev,D. Altmaier,01:03:20,Round of 32,6 6,3 3,Daniil Medvedev,Completed,ms027,500,https://www.atptour.com//en/scores/stats-centre/archive/2025/500/ms027,mm58,ae14,6,6,,,,3,3,,,,3,mm58
16-06-2025,A. Bublik,A. Muller,01:00:40,Round of 32,6 6,4 4,Alexander Bublik,Completed,ms017,500,https://www.atptour.com//en/scores/stats-centre/archive/2025/500/ms017,bk92,mp20,6,6,,,,4,4,,,,3,bk92
16-06-2025,Q. Halys,B. Bonzi,01:18:29,Round of 32,6 6,4 4,Quentin Halys,Completed,ms026,500,https://www.atptour.com//en/scores/stats-centre/archive/2025/500/ms026,hb64,bm95,6,6,,,,4,4,,,,3,hb64
16-06-2025,F. Marozsan,M. Kecmanovic,02:11:10,Round of 32,6(3) 6 6,7 4 4,Fabian Marozsan,Completed,ms018,500,https://www.atptour.com//en/scores/stats-centre/archive/2025/500/ms018,m0ci,ki95,6(3),6,6,,,7,4,4,,,3,m0ci
16-06-2025,S. Tsitsipas,L. Darderi,02:00:09,Round of 32,6 3 7,4 6 6(5),Stefanos Tsitsipas,Completed,ms025,500,https://www.atptour.com//en/scores/stats-centre/archive/2025/500/ms025,te51,d0fj,6,3,7,,,4,6,6(5),,,3,te51
15-06-2025,B. Bonzi,L. Tu,01:35:31,2nd Round Qualifying,6 7,4 6(7),Benjamin Bonzi,Completed,qs004,500,https://www.atptour.com//en/scores/stats-centre/archive/2025/500/qs004,bm95,tc01,6,7,,,,4,6(7),,,,3,bm95
15-06-2025,L. Djere,J. de Jong,01:07:32,2nd Round Qualifying,6 6,4 0,Laslo Djere,Completed,qs005,500,https://www.atptour.com//en/scores/stats-centre/archive/2025/500/qs005,db63,d0c1,6,6,,,,4,0,,,,3,db63
